NOMBREDIAGNOSTICOS, DESCRIPCIONDIAGNOSTICOS, CUIDADOSDIAGNOSTICOS, TRATAMIENTODIAGNOSTICO, VACUNASDIAGNOSTICO,STATE
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
Nombre,descripcion,cuidados,Caca,vacuna,True
